Unnamed: 0,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
0,IndiGo,24/03/2024,Banglore,New Delhi,BLR → DEL,22:20,01:10 22 Mar,2h 50m,non-stop,No Info,3312.45
1,Air India,1/05/2024,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,13:15,7h 25m,2 stops,No Info,6512.7
2,Jet Airways,9/06/2024,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 10 Jun,19h,2 stops,No Info,11799.699999999999
3,IndiGo,12/05/2024,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No Info,5285.3
4,IndiGo,01/03/2024,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No Info,11306.699999999999
5,SpiceJet,24/06/2024,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No Info,3292.0499999999997
6,Jet Airways,12/03/2024,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,9423.949999999999
7,Jet Airways,01/03/2024,Banglore,New Delhi,BLR → BOM → DEL,08:00,05:05 02 Mar,21h 5m,1 stop,No Info,18929.5
8,Jet Airways,12/03/2024,Banglore,New Delhi,BLR → BOM → DEL,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,9423.949999999999
9,Multiple carriers,27/05/2024,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No Info,7331.25
10,Air India,1/06/2024,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No Info,7570.95
11,IndiGo,18/04/2024,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No Info,3547.9
12,Air India,24/06/2024,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No Info,3966.95
13,Jet Airways,9/05/2024,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,8213.55
14,IndiGo,24/04/2024,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No Info,4083.4
15,Air India,3/03/2024,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2 stops,No Info,11909.35
16,SpiceJet,15/04/2024,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No Info,4955.5
17,Jet Airways,12/06/2024,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,8722.699999999999
18,Air India,12/06/2024,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2 stops,No Info,11373.85
19,Jet Airways,27/05/2024,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,10963.3
20,GoAir,6/03/2024,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No Info,16570.75
21,Air India,21/03/2024,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No Info,5911.75
22,IndiGo,3/04/2024,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No Info,3351.5499999999997
23,IndiGo,1/05/2024,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No Info,4099.55
24,Jet Airways,6/05/2024,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,6593.45
25,Jet Airways,9/06/2024,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2 stops,No Info,11298.199999999999
26,IndiGo,1/06/2024,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1 stop,No Info,7002.3
27,GoAir,15/05/2024,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No Info,6529.7
28,Vistara,18/06/2024,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No Info,3967.7999999999997
29,Vistara,15/06/2024,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No Info,3133.95
30,Vistara,18/06/2024,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No Info,3133.95
31,Air India,1/05/2024,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No Info,11242.949999999999
32,IndiGo,6/04/2024,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No Info,3759.5499999999997
33,Jet Airways,15/06/2024,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,9281.15
34,Jet Airways,18/05/2024,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,10517.05
35,IndiGo,27/06/2024,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No Info,5009.9
36,SpiceJet,21/05/2024,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No Info,3951.65
37,Air India,18/05/2024,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No Info,5308.25
38,Jet Airways,06/03/2024,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No Info,16341.25
